date,post_text,label
2023-09-13 18:37:49,ok😂😂😂🫵,0
2023-09-13 15:09:05,"hello! keeb peeps sa ud, baka gusto niyo handlubed harvested 81 pieces cidoo matte linear switches from cidoo v87 for 1700 or can go lower to 1600

creamy sound and more on the poppy side, can be thocky too i think depende sa board

can also trade too! 😁
siguro kahit thocky linear or tactiles, add cash nalang pag lower value!",0
2023-09-13 15:08:03,Hello po may possible po kaya na mag oopen po ulit yung admission for scholarship sa UD?,1
2023-09-13 15:07:03,Baka meron naka pulot ng id sa jfh building ;),0
2023-09-13 15:06:04,"Kung sino man yung guy na nakabunggo ko kasi late na ko, sorry po kuya. Sa uulitin",0
2023-09-13 15:05:05,"ADMIN PA POST!

Small rant lang! San ba pwede mag reklamo ng profs na puro pagawa pero walang proper lesson and puro readings lang? Ang sabi, you read, I read, we lecture. Ang nangyayari ay, I read, Nag post ng assesments, I answer, I go to lozol and sit for nothing. Puro kuda lang ng hindi na halos connected sa lesson. Di ko na nga maalala kasi lintek lang na walang gante, wala talagang kwenta. Nag tatanong pa sakin block mates ko kung lesson na ba yun,,, like??? how do I even answer that? mahal ng tution pero walang turo puro readings? sana bumili nalang ako libro at nag basa kung dun lang pala ako matutoto.",1
2023-09-13 15:04:05,Medyo napacomfort ata ako sa section kahit term 1 palang nararamdaman ko nangiiba na yung atmosphere nung pagtingin nila saken oras na ata ibalik yung boundaries nung 1st day haha.,0
2023-09-13 15:03:03,angaass may pa-esports convention yung cscs!!!!! PWEAASEE open niyo to all colleges baka naman OTL,1
2023-09-13 15:02:04,PAGOD NA AKO SA CHEM PLS,0
2023-09-13 15:00:04,tuts on how mag-first move pag naka inunfriend ng ilang months? pota hirap mag move on eh penge nalang tips ty,0
2023-09-13 14:59:05,"Hinuhuli ba kung may piercings yung lalaki sa college?

admin: kukunin ng swafo id niyo hehehe",1
2023-09-13 14:58:03,"may mga currently irregular students po ba dito na shs? if yes, pwede po magcomment kayo dito may itatanong lang😁",0
2023-09-13 14:57:03,"hi i just want to rant huhu bat online whenever I make an effort to meet someone or try to make a relationship lagi yung guys na namemeet ko is not my type or hindi pogi para sakin. Wait wag niyo ako ibash just because of this just because I said that doesnt mean that I dont have anything against it, it's just that nadodown confidence ko because of that like everyone around me can pull handsome guys pero pag ako its not the same likr everyone else napapaoverthink ako na hindi ba ako ganon ka ganda or type nila to like me.😭😭😭",0
2023-09-13 14:56:03,"the audacity to give the students some assessments to answer at home kahit wala namang tinuturo. Like wtf lasalle, mahal mahal ng tuition nyo tas aasahan nyo kami na mag self taught? Kulang kulang na nga sa classroom necessities tas ganyan pa kayo. Be better lasalle",1
2023-09-13 14:55:02,"Totoo nga yung sinasabi nila na iba-iba tayo ng experience sa school. Froshie ako rn under CEAT and so far naman, wala naman akong terror na prof. Tapos nag tuturo naman sila lahat, maayos at bihirang hindi sumipot. Medyo nauumay lang ako sa dami ng assessments pero kaya naman. Naiinis nga lang din ako sa quality ng classroom at facilities, ano ba yan binabaha yung MTH ahaha pero at least masaya sa library tumambay at mag-aral.

Ewan, baka swerte lang ako ngayon sana magtuloy-tuloy. :)",1
2023-09-13 14:54:03,"idk, pero I was expecting na mag kaka ID kami and uniform agad even tho g11 ako/kami. pero mas nauna pa yung ibang university magka ID pati mag uniform. Well, my point here is I was just expecting na it’d be fast to process IDs here and sell uniforms as they should naman in order for us to get inside without showing COR, also not thinking ab OOTD nadin everytime, lalo na may dress code (daw) eee most of the students arent even following it, edi better to have uniforms nalang…",1
2023-09-13 14:53:08,hi! how’s the profs po ng stem shs and yung facilities ?? planning to study here po kasi 🥹,1
2023-09-13 14:52:03,"DI KO ALAM PANO MAG BAYAD SA IKOT LA SALLE POTANGINA DON'T JUDGE ME! SA MGA NAKASABAY KO, ALAM NIYO KUNG SINO KAYO, HINDI KO SINASADYA MAG 123 HAHAHAHAHAHA SHET NATAPILOK PA KO BAGO SUMAKAY YAWA",0
2023-09-13 14:51:05,😭😭😭,0
2023-09-13 14:50:04,"Guys, feeling ko nasa schoolbook ang tru love 🥰 Kaso nahiya ako imessage ka baka makita ng school admin. 🥲",0
2023-09-13 14:48:05,may naiwan po na drumsticks dito sa room 133,0
2023-09-12 21:50:03,"Hellooo! sending here our survey form required for our subject Business Analytics! We're in need of 700 respondents for this questionnaire. If you have some spare time to answer and share, we would be extremely grateful. Please select ""JANELLA CAYE PASCUA"" in the section labeled ""Name of Researchers."" for tracking purposes. Thank you so much! ❤️

https://forms.gle/55Jt51V8fGCouWF8A",1
2023-09-12 21:49:05,Biglang nagerror yung omegle. Iiyak na ako 🤧,0
2023-09-12 21:48:06,hala anyare kay au rum nawala na sya sa fw :((,0
2023-09-12 21:47:09,Meron pa rin po bang teacher evaluation this college? parang kilala ko na po kasi kung sino ibabagsak ko,1
2023-09-12 21:46:03,"Puro nalang manifesting uno nakikita q sa nf🥹🥹 katakot naman,, wala bang manifesting kwatro jan????",0
2023-09-12 21:45:04,"Sa mga mag aapply for org jan, wag naman kayo mag asta na para kayong hindi dumaan sa hs and shs. Simpleng reading comprehension sa mga publications hindi magawa? Tapos magrereklamo kayo, magpapa bebe kayo sa pagcchat. Marunong ba kayong maging professional? yung totoo lang ha. Nasa DLSUD kayo, hindi high school club ang sasalihan nyo. Yang mga orgs na yan, college orgs man o performing arts group, or yung mga auxiliary orgs, matagal na yang nasa sistema ng Lasalle Dasma. Student leaders ang hinahanap, hindi clout chasers. Kung mag iinquire kayo mag practice na kayo maging formal, umasta kayo as COLLEGE STUDENTS. This is for everyone, wag kayo masyadong demanding jan sa replies, wag nyo pangunahan yung instructions na binibigay sa inyo. STUDENT LEADERS yan, hindi lang yan admin na magrereply sayo agad. INTINDIHIN nyo sila and UMINTINDI kayo ng INSTRUCTIONS.",1
2023-09-12 21:44:05,"Pwede ba pag ayaw niyo na sa tao sabihin niyo, hindi yung papaasahin at papahabain pa convo hahaha

Hello cbaa peeps mapanakit 🥺",0
2023-09-12 21:43:04,"Curious lang ako, paano yung nakita kong nagpost before sa fw na nakapag-grad pic pero hindi daw kasama sa final list ng graduates, anong nangyayari sa kanila usually?

Like, graduate na sila pero hindi lang kasama sa event, by next graduation na sila makakasama which is next year, or may other ways pa?",1
2023-09-12 21:42:05,"Dear person na nakaiwan ng GenBio workbook sa room 121,

Nakita namin yung libro mo, yung itim na ink ang gamit tapos parang manipis yung sulat. Di rin the best ung penmanship pero naiintindihan pa naman.

Tinago po namin ung libro mo sa ceiling tiles. Bakit? Kasi sadista po kami. May isang ceiling tile na nagagalaw, inangat namin tapos pinatong sa katabing tile.

Although, di namin guarantee na nandun pa iyun. Basta kung di mo makita sa ceiling, mag full sweep ka lang ng room, mababalik din siya sayo.

Happy hunting po ng libro ;)",0
